instance,prep,geo-feature,placename,sum,or,label exp1,label exp 2,label exp 3,label exp 4
 artwork image courtesy andrew dunn via wikimedia commons and used under,via,0,0,0,0,0,0,0,0
 dunn wikimedia commons and used under a creative commons attribution share,under,0,0,0,0,0,0,0,0
 arty was sitting up in bed his hair shining from,in,0,0,0,0,1,1,0,1
 up bed his hair shining from a liberal application of something,from,0,0,0,0,0,0,0,0
 hair shining a liberal application of something that looked and smelled,of,0,0,0,0,0,0,0,0
 something that looked and smelled like perfumed vaseline and came from,like,0,0,0,0,0,0,0,0
 smelled perfumed vaseline and came from a jar labelled easi gro,from,0,0,0,0,0,0,0,0
 as a child she roamed freely,As,1,0,1,1,0,0,0,0
 a child she roamed freely along the country lanes knew the,along,1,0,1,1,2,1,1,0
 lanes knew the wild flowers by name and smell and the,by,1,0,1,1,0,0,0,0
 and smell and the birds in dialect,in,1,0,1,1,0,0,0,0
 as a result of that incident,As,0,0,0,0,0,0,0,0
 a result of that incident there were a,of,0,0,0,0,0,0,0,0
 incident there were a number of complaints by members of the,of,0,0,0,0,0,0,0,0
 there were a number complaints by members of the public about,by,0,0,0,0,0,0,0,0
 were a number complaints members of the public about the conduct,of,0,0,0,0,0,0,0,0
 number complaints members the public about the conduct of some of,about,0,0,0,0,0,0,0,0
 members the public the conduct of some of the police officers,of,0,0,0,0,0,0,0,0
 the public the conduct some of the police officers who had,of,0,0,0,0,0,0,0,0
 as british women and children continue,As,2,1,3,1,0,0,0,0
 and children continue to fly out of the gulf the oxford,out,2,1,3,1,2,1,1,0
 and children continue to fly of the gulf the oxford based,of,2,1,3,1,2,1,1,0
 is trying to increase awareness of other foreign nationals they ve,of,2,1,3,1,0,0,0,0
 foreign nationals they ve left behind,behind,2,1,3,1,2,1,1,0
 as every student knows affairs with lecturers are as much a,with,1,0,1,1,0,0,0,0
 are as much a part of university life as examination nerves,of,1,0,1,1,0,0,0,0
 as every student knows affairs lecturers,AS,1,0,1,1,0,0,0,0
 parties and late night deliberations on the romantic poets,on,1,0,1,1,0,0,0,0
 as far as lazy sunny day,As,1,0,1,1,0,0,0,0
 reflects the indian vibe more than anything else and that s,than,1,0,1,1,0,0,0,0
 why you see it everywhere from the country to the cities,from,1,0,1,1,2,1,1,0
 as he approaches the city on,As,1,0,1,1,0,0,0,0
 he approaches the city on the freeway the same old,on,1,0,1,1,2,1,1,0
 same old restless excitement stirs in him that he felt on,in,1,0,1,1,0,0,0,0
 old restless excitement stirs him that he felt on that first,that,1,0,1,1,0,0,0,0
 excitement stirs him he felt on that first apocalyptic evening all,on,1,0,1,1,0,0,0,0
 apocalyptic evening all those years ago,ago,1,0,1,1,0,0,0,0
 as he climbed through her bedroom,As,0,0,0,0,0,0,0,0
 he climbed through her bedroom window she would,through,0,0,0,0,1,1,0,1
 the stairs slamming the door on his sanguinary hand,on,0,0,0,0,1,1,0,1
 as he moved to start dousing,As,0,0,0,0,0,0,0,0
 dousing the flames ashley fled into the small whitewashed bedroom on,into,0,0,0,0,1,1,0,1
 fled the small whitewashed bedroom on the other side of the,on,0,0,0,0,1,1,0,1
 whitewashed bedroom the other side of the hall,of,0,0,0,0,1,1,0,1
 as he stared at the torment,As,0,0,0,0,0,0,0,0
 he stared at the torment fury and despair,at,0,0,0,0,0,0,0,0
 the torment fury and despair in her face he knew that,in,0,0,0,0,1,1,0,1
 despair her face he knew that clare would not forgive him,that,0,0,0,0,0,0,0,0
 as his manicured fingers played with,As,0,0,0,0,0,0,0,0
 his manicured fingers played with the gold medallion around his,with,0,0,0,0,0,0,0,0
 fingers played the gold medallion around his neck he looked very,around,0,0,0,0,1,1,0,1
 as if they were doing a,As,0,0,0,0,0,0,0,0
 if they were doing a bizarre,if,0,0,0,0,0,0,0,0
 doing a bizarre dance followed by marx herr nordern backed through,by,0,0,0,0,0,0,0,0
 followed marx herr nordern backed through the tiny vestibule into the,through,0,0,0,0,1,1,0,1
 nordern backed the tiny vestibule into the sitting room and a,into,0,0,0,0,1,1,0,1
 and a silent apprehensive circle of norderns,of,0,0,0,0,0,0,0,0
 as in biblical times the king,As,1,0,1,1,0,0,0,0
 in biblical times the king became,in,1,0,1,1,0,0,0,0
 the anointed one but only with the approbation of the church,with,1,0,1,1,0,0,0,0
 one but only the approbation of the church,of,1,0,1,1,0,0,0,0
 as it drew away from the,As,0,0,0,0,0,0,0,0
 it drew away from the communists the ilp leadership,from,0,0,0,0,0,0,0,0
 also criticizing the popular front for its inclusion of non socialists,for,0,0,0,0,0,0,0,0
 the popular front its inclusion of non socialists,of,0,0,0,0,0,0,0,0
 as it happened my brother knew,As,0,0,0,0,0,0,0,0
 brother knew the leading professor in testicular cancer there dr janet,in,0,0,0,0,0,0,0,0
 as it turned out the possession,As,0,1,1,1,0,0,0,0
 it turned out the possession of colston bassett followed this special,of,0,1,1,1,0,0,0,0
 bassett followed this special remainder for the earl by his will,for,0,1,1,1,0,0,0,0
 this special remainder the earl by his will dated nd june,by,0,1,1,1,0,0,0,0
 left all his freehold estates in trust for his son william,in,0,1,1,1,0,0,0,0
 all his freehold estates trust for his son william lord wentworth,for,0,1,1,1,0,0,0,0
 to william wentworth eldest son of peter,of,0,1,1,1,0,0,0,0
 as it used to be there,As,3,2,5,1,0,0,0,0
 round singapore s railway station in this video or see this,in,3,2,5,1,0,0,0,0
 see this map showing location of singapore s old railway station,of,3,2,5,1,2,1,1,0
 as it was i was cheap,As,0,0,0,0,0,0,0,0
 it was i was cheap at the price,at,0,0,0,0,0,0,0,0
 as it was situated upon a,As,3,0,3,1,0,0,0,0
 it was situated upon a promontory or mound it,upon,3,0,3,1,2,1,1,0
 it was referred to occasionally as mont hall and as a,as,3,0,3,1,0,0,0,0
 to occasionally mont hall and as a matter of fact fletcher,as,3,0,3,1,0,0,0,0
 mont hall and a matter of fact fletcher gate was at,of,3,0,3,1,0,0,0,0
 matter fact fletcher gate was at one time called mont hall,at,3,0,3,1,0,0,0,0
 as long as the hole remains,As,0,0,0,0,0,0,0,0
 as the hole remains clear of debris if a pipe should,of,0,0,0,0,0,0,0,0
 the hole remains clear debris if a pipe should split air,if,0,0,0,0,0,0,0,0
 pipe should split air leaking into the system through the hole,into,0,0,0,0,1,1,0,1
 split air leaking the system through the hole should limit any,through,0,0,0,0,1,1,0,1
 mess and prevent an accident from turning into a catastrophe,from,0,0,0,0,0,0,0,0
 and prevent an accident turning into a catastrophe,into,0,0,0,0,0,0,0,0
 as michael looked at the man,As,0,1,1,1,0,0,0,0
 michael looked at the man sitting opposite his,at,0,1,1,1,1,1,0,1
 michael looked the man sitting opposite his fat ugly face grinning,opposite,0,1,1,1,1,1,0,1
 his fat ugly face grinning like a cheshire cat s he,like,0,1,1,1,0,0,0,0
 impulse to smash his fist into his teeth,into,0,1,1,1,1,1,0,1
 as much as he complains about,As,0,0,0,0,0,0,0,0
 much as he complains about having to frolic through the,about,0,0,0,0,0,0,0,0
 he complains having to frolic through the cliches of his life,through,0,0,0,0,0,0,0,0
 having to frolic the cliches of his life he is quite,of,0,0,0,0,0,0,0,0
 as one might expect teachers of,As,0,0,0,0,0,0,0,0
 one might expect teachers of latin eloquence too soon became,of,0,0,0,0,0,0,0,0
 as planned the military rising commenced,As,1,1,2,1,0,0,0,0
 planned the military rising commenced in spanish morocco and the canary,in,1,1,2,1,2,1,1,0
 morocco and the canary islands on  july ,on,1,1,2,1,0,0,0,0
 began his second birthday celebrations with a photo call in the,with,1,1,2,1,0,0,0,0
 birthday celebrations a photo call in the gardens of kensington palace,in,1,1,2,1,2,1,1,0
 a photo call the gardens of kensington palace he toddled curiously,of,1,1,2,1,2,1,1,0
 kensington palace he toddled curiously towards a tv crew,towards,1,1,2,1,1,1,0,1
 as promised lotte and richard had,As,1,2,3,1,0,0,0,0
 key to the lake house for us under the door mat,for,1,2,3,1,0,0,0,0
 to the lake house us under the door mat prior to,under,1,2,3,1,1,1,0,1
 door mat prior to leaving for minnesota in their motor home,for,1,2,3,1,2,1,1,0
 mat prior to leaving minnesota in their motor home,in,1,2,3,1,1,1,0,1
 as rachel maddow recently reported city,As,3,0,3,1,0,0,0,0
 to close the school and if that happens the fields will,if,3,0,3,1,0,0,0,0
 as selwyn rummaged around the shed,As,1,0,1,1,0,0,0,0
 selwyn rummaged around the shed for his tools,around,1,0,1,1,1,1,0,1
 selwyn rummaged the shed for his tools barney summerville came,for,1,0,1,1,0,0,0,0
 his tools barney summerville came out of the garage wiping his,out,1,0,1,1,2,1,1,0
 his tools barney summerville came of the garage wiping his hands,of,1,0,1,1,2,1,1,0
 the garage wiping his hands on an oily rag,on,1,0,1,1,1,1,0,1
 as she revealed to writer sherwood,As,0,0,0,0,0,0,0,0
 decision to limit the type of image she believed had been,of,0,0,0,0,0,0,0,0
 most susceptible to critical misreadings in ,in,0,0,0,0,0,0,0,0
 as she talked to key people,As,0,1,1,1,0,0,0,0
 people and travelled round britain on her preliminary fact finding tour,on,0,1,1,1,0,0,0,0
 she had a big area of ignorance,of,0,1,1,1,0,0,0,0
 as she was only about fourteen,As,0,0,0,0,0,0,0,0
 a few dark red carnations from her but that was as,from,0,0,0,0,0,0,0,0
 carnations her but that was as far as we would go,as,0,0,0,0,0,0,0,0
 as soon as cunobelinos who had,As,3,1,4,1,0,0,0,0
 soon as cunobelinos who had established himself,As,3,1,4,1,0,0,0,0
 had established himself as ruler over both tribes moved his capital,over,3,1,4,1,0,0,0,0
 and established a new depot on the river colne,on,3,1,4,1,2,1,1,0
 as soon as he came in,As,0,0,0,0,0,0,0,0
 soon as he came in i made him let me,in,0,0,0,0,1,1,0,1
 made him let me look at his head and i dabbed,at,0,0,0,0,1,1,0,1
 and i dabbed some dettol on it,on,0,0,0,0,1,1,0,1
 as soon as she arrived at,As,1,0,1,1,0,0,0,0
 soon as she arrived at the office she went to,at,1,0,1,1,1,1,0,1
 as the action proper begins poseidon,As,0,1,1,1,0,0,0,0
 white curtain round the perimeter of the auditorium,of,0,1,1,1,1,1,0,1
 as the bus swung slowly round,As,2,3,5,1,0,0,0,0
 round loxford green anna saw that two immense removal vans were,that,2,3,5,1,0,0,0,0
 immense removal vans were parked in the drive of loxford old,in,2,3,5,1,2,1,1,0
 vans were parked the drive of loxford old rectory,of,2,3,5,1,2,1,1,0
 as the defendants were unable to,As,0,0,0,0,0,0,0,0
 unable to rebut the inference of negligence they were liable,of,0,0,0,0,0,0,0,0
 as the first wash of the,As,1,0,1,1,0,0,0,0
 the first wash of the day swayed the boat,of,1,0,1,1,0,0,0,0
 steve leapt up and rushed on deck,on,1,0,1,1,1,1,0,1
 as the next day dawned cold,As,3,0,3,1,0,0,0,0
 amanda laid the first strokes of colour onto her next canvas,of,3,0,3,1,0,0,0,0
 laid the first strokes colour onto her next canvas before rushing,onto,3,0,3,1,1,1,0,1
 strokes colour her next canvas before rushing off to work in,before,3,0,3,1,0,0,0,0
 canvas rushing off to work in the local supermarket and in,in,3,0,3,1,2,1,1,0
 work the local supermarket and in another part of town stuart,in,3,0,3,1,2,1,1,0
 local supermarket and another part of town stuart walked into his,of,3,0,3,1,2,1,1,0
 another part town stuart walked into his local estate agents to,into,3,0,3,1,2,1,1,0
 his still empty art gallery up for sale,up,3,0,3,1,0,0,0,0
 his still empty art gallery for sale,for,3,0,3,1,0,0,0,0
 as the settlers began to arrive,As,3,3,6,1,0,0,0,0
 the settlers began to arrive in the bathurst district in the,in,3,3,6,1,2,1,1,0
 to arrive the bathurst district in the mid  s to,in,3,3,6,1,0,0,0,0
 unoccupied or to purchase land as it was proclaimed as torren,As,3,3,6,1,0,0,0,0
 purchase land it was proclaimed as torren s title small communities,As,3,3,6,1,2,1,1,0
 small communities developed  such as george s plains fitzgerald s,As,3,3,6,1,2,1,1,0
 as the struggle progressed he came,As,0,0,0,0,0,0,0,0
 came to see the inadequacies of the term and realized that,of,0,0,0,0,0,0,0,0
 inadequacies the term and realized that it was too constricted in,that,0,0,0,0,0,0,0,0
 realized it was too constricted in its meaning and gave rise,in,0,0,0,0,0,0,0,0
 as the sun dissolved in the,As,3,0,3,1,0,0,0,0
 the sun dissolved in the west a surreal pink,in,3,0,3,1,2,1,1,0
 a surreal pink haze rolled around the hollows of the plateau,around,3,0,3,1,2,1,1,0
 pink haze rolled the hollows of the plateau and obscured the,of,3,0,3,1,2,1,1,0
 to the north lapping silently into the corries,into,3,0,3,1,2,1,1,0
 as the war dragged on modigliani,As,0,0,0,0,0,0,0,0
 the war dragged on modigliani s horror at the,on,0,0,0,0,0,0,0,0
 war dragged modigliani s horror at the waste of life increased,at,0,0,0,0,0,0,0,0
 modigliani s horror the waste of life increased,of,0,0,0,0,0,0,0,0
 as they left the confines of,As,4,0,4,1,0,0,0,0
 they left the confines of the city and started on,of,4,0,4,1,2,1,1,0
 confines the city and started on the long straight empty road,on,4,0,4,1,2,1,1,0
 sun was glowing ruby red behind the dark wooded hills the,behind,4,0,4,1,2,1,1,0
 as they were about to ride,As,0,0,0,0,0,0,0,0
 they were about to ride up someone hurried,about,0,0,0,0,0,0,0,0
 to ride up someone hurried across the hall,across,0,0,0,0,1,1,0,1
 as things are i d like,As,0,0,0,0,0,0,0,0
 things are i d like you to postpone your leave,like,0,0,0,0,0,0,0,0
 you to postpone your leave for a bit,for,0,0,0,0,0,0,0,0
 as we arrive at the end,As,0,0,0,0,0,0,0,0
 we arrive at the end of the year,at,0,0,0,0,0,0,0,0
 we arrive the end of the year it is perhaps,of,0,0,0,0,0,0,0,0
 a time to look back at what has been achieved and,at,0,0,0,0,0,0,0,0
 as we bent over him he,As,0,0,0,0,0,0,0,0
 we bent over him he opened his eyes,over,0,0,0,0,1,1,0,1
 as we descended through the darkness,As,0,1,1,1,0,0,0,0
 we descended through the darkness into cuzco on,through,0,1,1,1,2,1,1,0
 we descended the darkness into cuzco on an endless series,into,0,1,1,1,2,1,1,0
 we descended the darkness cuzco on an endless series of switchbacks,on,0,1,1,1,0,0,0,0
 darkness cuzco an endless series of switchbacks their daughter asked each,of,0,1,1,1,0,0,0,0
 switchbacks their daughter asked each of us to sing a song,of,0,1,1,1,0,0,0,0
 us to sing a song for her from our own countries,for,0,1,1,1,0,0,0,0
 to sing a song her from our own countries,from,0,1,1,1,0,0,0,0
 as we have seen aung san,As,0,1,1,1,0,0,0,0
 san had a great admiration for nehru and in  he,for,0,1,1,1,0,0,0,0
 a great admiration nehru and in  he attended the annual,in,0,1,1,1,0,0,0,0
 he attended the annual congress at ramgarh regarded by communists as,at,0,1,1,1,2,1,1,0
 the annual congress ramgarh regarded by communists as bourgeois,by,0,1,1,1,0,0,0,0
 annual congress ramgarh regarded communists as bourgeois,As,0,1,1,1,0,0,0,0
 as we just remarked banks charge,As,0,0,0,0,0,0,0,0
 just remarked banks charge interest on bank loans,on,0,0,0,0,0,0,0,0
 as we stroll on the high,As,1,1,2,1,0,0,0,0
 we stroll on the high path along the,on,1,1,2,1,2,1,1,0
 we stroll the high path along the edge of the fields,along,1,1,2,1,2,1,1,0
 the high path the edge of the fields dixie explains about,of,1,1,2,1,2,1,1,0
 edge the fields dixie explains about the man,about,1,1,2,1,0,0,0,0
 as well as public toilets other,As,1,3,4,1,0,0,0,0
 europe s longest champagne bar before checking in for your train,Before,1,3,4,1,0,0,0,0
 s longest champagne bar checking in for your train to paris,in,1,3,4,1,0,0,0,0
 s longest champagne bar checking for your train to paris you,for,1,3,4,1,0,0,0,0
 a toast to your journey at europe s longest champagne bar,at,1,3,4,1,2,1,1,0
 bar  metres long and on the upper level underneath the,on,1,3,4,1,2,1,1,0
 long and the upper level underneath the magnificent glass and steel,underneath,1,3,4,1,2,1,1,0
 as well as the glorious woodland,As,3,0,3,1,0,0,0,0
 well as the glorious woodland at leigh woods you can experience,at,3,0,3,1,2,1,1,0
 you can experience the grandeur of clevedon court or journey back,of,3,0,3,1,2,1,1,0
 clevedon court or journey back in time to the iron age,in,3,0,3,1,0,0,0,0
 time to the iron age at cadbury camp,at,3,0,3,1,2,1,1,0
 as with other strong personalities people,As,0,0,0,0,0,0,0,0
 with other strong personalities people were,with,0,0,0,0,0,0,0,0
 personalities people were seldom neutral about her,about,0,0,0,0,0,0,0,0
 as woodforde noted the cost of,As,0,0,0,0,0,0,0,0
 woodforde noted the cost of everything he purchased we can,of,0,0,0,0,0,0,0,0
 we can follow the fluctuation of prices,of,0,0,0,0,0,0,0,0
 as you can see i ve,As,0,0,0,0,0,0,0,0
 see i ve never had as much difficulty in coming to,As,0,0,0,0,0,0,0,0
 ve never had much difficulty in coming to a conclusion about,in,0,0,0,0,0,0,0,0
 difficulty coming to a conclusion about any piece of software,about,0,0,0,0,0,0,0,0
 to a conclusion any piece of software,of,0,0,0,0,0,0,0,0
 as you come to the bottom,As,1,0,1,1,0,0,0,0
 you come to the bottom of the glen turn left and,of,1,0,1,1,2,1,1,0
 and cross the wooden bridge over the stream,over,1,0,1,1,2,1,1,0
 got up and paced restlessly across the room,across,0,0,0,0,1,1,0,1
 ascending through the mists of new zealand,through,4,2,6,1,2,1,1,0
 ascending the mists of new zealand s tallest waterfall,of,4,2,6,1,2,1,1,0
 the milford track takes you through alpine forests across swing bridges,through,4,2,6,1,2,1,1,0
 track takes you alpine forests across swing bridges and up a,across,4,2,6,1,2,1,1,0
 ash privies were an improvement as they were built above ground,as,0,1,1,1,0,0,0,0
 an improvement they were built above ground level and cemented at,above,0,1,1,1,1,1,0,1
 built ground level and cemented at the bottom  ash was,at,0,1,1,1,1,1,0,1
 bottom  ash was thrown in at the front and the,in,0,1,1,1,1,1,0,1
 bottom  ash was thrown at the front and the contents,at,0,1,1,1,1,1,0,1
 front and the contents withdrawn through a door at the back,through,0,1,1,1,1,1,0,1
 the contents withdrawn a door at the back,at,0,1,1,1,1,1,0,1
 barn a fifteenth century barn with stone tiled roof the tithe,with,9,6,15,1,0,0,0,0
 tiled roof the tithe barn at ashleworth is a fifteenth century,at,9,6,15,1,2,1,1,0
 is a fifteenth century barn with a tiled roof  a,with,9,6,15,1,0,0,0,0
 roof  a distant view of ashleworth tithe barn in gloucestershire,of,9,6,15,1,2,1,1,0
 distant view ashleworth tithe barn in gloucestershire the barn was built,in,9,6,15,1,2,1,1,0
 gloucestershire the barn was built about  by the canons of,about,9,6,15,1,0,0,0,0
 the barn was built  by the canons of st augustine,by,9,6,15,1,2,1,1,0
 was built  the canons of st augustine s bristol,of,9,6,15,1,2,1,1,0
 asia  india to europe by land going from china to,by,0,5,5,1,0,0,0,0
 india to europe land going from china to mongolia is very,from,0,5,5,1,2,1,1,0
 to mongolia is very easy as well,as,0,5,5,1,0,0,0,0
 press writers alberto arce reported from tegucigalpa honduras and adriana gomez,from,0,3,3,1,2,1,1,0
 honduras and adriana gomez licon from mexico city,from,0,3,3,1,2,1,1,0
 at  redcross street stphilips,At,1,1,2,1,2,1,1,0
 at  miles the trail left,At,6,0,6,1,0,0,0,0
 the county park we passed through a gate where there was,through,6,0,6,1,2,1,1,0
 there was a sign indicating that we had left the maricopa,that,6,0,6,1,0,0,0,0
 park system and were now on state trust land,on,6,0,6,1,2,1,1,0
 at a desert pit stop for,At,2,0,2,1,2,1,1,0
 a desert pit stop for a billion birds deborah stone,for,2,0,2,1,0,0,0,0
 stone discovers an eco village of geodesic domes and recycled art,of,2,0,2,1,2,1,1,0
 at about the same time the,At,2,0,2,1,0,0,0,0
 about the same time the vacant,about,2,0,2,1,0,0,0,0
 vacant plot to the west of the school was purchased by,of,2,0,2,1,2,1,1,0
 west the school was purchased by lea for school extensions but,by,2,0,2,1,0,0,0,0
 the school was purchased lea for school extensions but the land,for,2,0,2,1,0,0,0,0
 the land to be used at first for playing fields,At,2,0,2,1,0,0,0,0
 land to be used first for playing fields,for,2,0,2,1,0,0,0,0
 at brooks dye works ashley grove,At,1,0,1,1,0,0,0,0
 at figueres simply cross the platform,At,2,1,3,1,2,1,1,0
 figueres vilafant station  kilometres from figueres town at  ,from,2,1,3,1,2,1,1,0
 station  kilometres figueres town at   and arriving paris,At,2,1,3,1,0,0,0,0
  and arriving paris gare de lyon at  ,de,2,1,3,1,0,0,0,0
 and arriving paris gare lyon at  ,At,2,1,3,1,0,0,0,0
 at first glance such precise and,At,0,0,0,0,0,0,0,0
 precise and long winded accounts of restorations alterations and embellishments might,of,0,0,0,0,0,0,0,0
 alterations and embellishments might indicate that mr frick employed limited discernment,that,0,0,0,0,0,0,0,0
 mr frick employed limited discernment in his choice of purchases but,in,0,0,0,0,0,0,0,0
 employed limited discernment his choice of purchases but this is definitely,of,0,0,0,0,0,0,0,0
 at his consecration by the archbishop,At,0,1,1,1,0,0,0,0
 his consecration by the archbishop of york a,by,0,1,1,1,0,0,0,0
 his consecration the archbishop of york a dispute broke out,of,0,1,1,1,0,0,0,0
 york a dispute broke out about his title  was he,about,0,1,1,1,0,0,0,0
 was he to be consecrated as metropolitan or as primate,as,0,1,1,1,0,0,0,0
 to be consecrated metropolitan or as primate,as,0,1,1,1,0,0,0,0
 at his side snodgrass was capering,At,0,0,0,0,1,1,0,1
 his side snodgrass was capering along occasionally leaping nimbly over a,along,0,0,0,0,1,1,0,1
 was capering occasionally leaping nimbly over a patch of undergrowth one,over,0,0,0,0,1,1,0,1
 occasionally leaping nimbly a patch of undergrowth one hand holding his,of,0,0,0,0,2,1,1,0
 one hand holding his hat on his head his cloak flying,on,0,0,0,0,1,1,0,1
 his head his cloak flying about his ankles but keeping pace,about,0,0,0,0,1,1,0,1
 his ankles but keeping pace with floy,with,0,0,0,0,1,1,0,1
 at last a lone figure staggered,At,0,0,0,0,0,0,0,0
 figure staggered out singing raucously as he swaggered in a drunken,as,0,0,0,0,0,0,0,0
 out singing raucously he swaggered in a drunken stupor,in,0,0,0,0,0,0,0,0
 at least five polar bears were,At,1,1,2,1,0,0,0,0
 bears were spotted last month in the prudhoe bay and endicott,in,1,1,2,1,2,1,1,0
 at least two lives of jackson,At,0,0,0,0,0,0,0,0
 least two lives of jackson pollock are also in,of,0,0,0,0,0,0,0,0
 lives jackson pollock are also in the works as is another,in,0,0,0,0,0,0,0,0
 pollock are also the works as is another script about the,as,0,0,0,0,0,0,0,0
 the works is another script about the collector joseph duveen,about,0,0,0,0,0,0,0,0
 at littleborough the canal runs through,At,3,1,4,1,2,1,1,0
 littleborough the canal runs through a culvert under a road,through,3,1,4,1,2,1,1,0
 the canal runs a culvert under a road so this is,under,3,1,4,1,2,1,1,0
 runs a culvert a road so this is currently the terminus,so,3,1,4,1,0,0,0,0
 at mile  is slide rock,At,3,2,5,1,2,1,1,0
 rock arch an enormous piece of navajo sandstone that fell from,of,3,2,5,1,2,1,1,0
 piece navajo sandstone that fell from the cliff above and landed,from,3,2,5,1,2,1,1,0
 sandstone that fell the cliff above and landed in the river,above,3,2,5,1,2,1,1,0
 fell the cliff and landed in the river bed creating a,in,3,2,5,1,2,1,1,0
 at mile  we came to,At,3,0,3,1,2,1,1,0
 came to our first landmark on the map slide rock arch,on,3,0,3,1,0,0,0,0
 map slide rock arch or as bill called it slid rock,as,3,0,3,1,0,0,0,0
 called it slid rock arch because to him it looked as,because,3,0,3,1,0,0,0,0
 arch to him it looked as though the rock had already,as,3,0,3,1,0,0,0,0
 arch to him it looked though the rock had already slid,though,3,0,3,1,0,0,0,0
 the rock had already slid down,down,3,0,3,1,2,1,1,0
 at nice when he heard the,At,0,0,0,0,2,1,1,0
 he heard the devastating news that his portuguese friend the artist,that,0,0,0,0,0,0,0,0
 portuguese friend the artist amedeo de sousa cardoso had died of,de,0,0,0,0,0,0,0,0
 amedeo sousa cardoso had died of spanish flu he broke down,of,0,0,0,0,0,0,0,0
 he broke down and sobbed like a child,like,0,0,0,0,0,0,0,0
 at no time either did zacco,At,0,0,0,0,0,0,0,0
 either seek to be alone with him or utter a word,with,0,0,0,0,0,0,0,0
 him or utter a word of reproach about his failure with,of,0,0,0,0,0,0,0,0
 or utter a word reproach about his failure with famagusta,about,0,0,0,0,0,0,0,0
 a word reproach his failure with famagusta,with,0,0,0,0,0,0,0,0
 at one end of the kitchen,At,3,0,3,1,2,1,1,0
 one end of the kitchen gardens a broad,of,3,0,3,1,2,1,1,0
 gardens a broad high wall of stone with a carriage entrance,of,3,0,3,1,0,0,0,0
 a broad high wall stone with a carriage entrance has just,with,3,0,3,1,0,0,0,0
 at one time the average person,At,0,0,0,0,0,0,0,0
 the average person could harvest around a sackful of wheat a,around,0,0,0,0,0,0,0,0
 person could harvest a sackful of wheat a day,of,0,0,0,0,0,0,0,0
 at other times he was scornful,At,0,0,0,0,0,0,0,0
 other times he was scornful of anhimsa non violence and he,of,0,0,0,0,0,0,0,0
 he criticised gandhi and nehru as philosophemes inclined to philosophical concepts,as,0,0,0,0,0,0,0,0
 at present however we are still,At,0,0,0,0,0,0,0,0
 however we are still essentially at the stage of identifying different,At,0,0,0,0,0,0,0,0
 are still essentially the stage of identifying different approaches to the,of,0,0,0,0,0,0,0,0
 different approaches to the consideration of strategy,of,0,0,0,0,0,0,0,0
 at scrooby in the northern part,At,2,1,3,1,2,1,1,0
 scrooby in the northern part of the,in,2,1,3,1,2,1,1,0
 scrooby the northern part of the county was formed the,of,2,1,3,1,2,1,1,0
 formed the first independent congregation in the country whose leader was,in,2,1,3,1,2,1,1,0
 leader was john robinson ma of corpus christi college cambridge called,of,2,1,3,1,2,1,1,0
 college cambridge called the father of english independency,of,2,1,3,1,0,0,0,0
 at ten o clock one morning,At,0,0,0,0,0,0,0,0
 o clock one morning one of my cats leapt on my,of,0,0,0,0,0,0,0,0
 morning one my cats leapt on my face,on,0,0,0,0,1,1,0,1
 at that moment dexter swaggered up,At,0,0,0,0,0,0,0,0
 that moment dexter swaggered up behind the constable to find out,behind,0,0,0,0,1,1,0,1
 at the age of  he,At,0,2,2,1,0,0,0,0
 the age of  he travelled through the,of,0,2,2,1,0,0,0,0
 the age  he travelled through the far east and went,through,0,2,2,1,2,1,1,0
 went to australia to work on a sheep station,on,0,2,2,1,2,1,1,0
 at the age of seventy five,At,2,2,4,1,0,0,0,0
 the age of seventy five she has to,of,2,2,4,1,0,0,0,0
 five she has to wade through a sea of mud to,through,2,2,4,1,2,1,1,0
 has to wade a sea of mud to get to her,of,2,2,4,1,0,0,0,0
 get to her council home at cinderford in gloucestershire,At,2,2,4,1,2,1,1,0
 to her council home cinderford in gloucestershire,in,2,2,4,1,2,1,1,0
 at the eastern end of the,At,3,3,6,1,2,1,1,0
 the eastern end of the parish there is a,of,3,3,6,1,2,1,1,0
 fosse way which runs south of the trent,of,3,3,6,1,2,1,1,0
 at the end of the field,At,4,1,5,1,2,1,1,0
 the end of the field go through gate,of,4,1,5,1,2,1,1,0
 the end the field go through gate under the power lines,through,4,1,5,1,2,1,1,0
 end the field go gate under the power lines and bear,under,4,1,5,1,2,1,1,0
 power lines and bear right towards a small wood then follow,towards,4,1,5,1,2,1,1,0
 edge keeping to the right alongside the wood and then over,alongside,4,1,5,1,2,1,1,0
 right the wood and then over a single style to a,over,4,1,5,1,2,1,1,0
 single style to a track up to cotmoor,up,4,1,5,1,2,1,1,0
 at the end of the play,At,0,0,0,0,0,0,0,0
 the end of the play she had declared,of,0,0,0,0,0,0,0,0
 at the end of this field,At,1,0,1,1,2,1,1,0
 the end of this field the bridleway crosses,of,1,0,1,1,2,1,1,0
 this field the bridleway crosses between the hedges so that the,between,1,0,1,1,2,1,1,0
 the bridleway crosses the hedges so that the hedge is now,so,1,0,1,1,0,0,0,0
 the bridleway crosses the hedges that the hedge is now on,that,1,0,1,1,0,0,0,0
 hedges the hedge is now on your right,on,1,0,1,1,2,1,1,0
 at the foothills of the magnificent,At,4,0,4,1,2,1,1,0
 the foothills of the magnificent central northern berg,of,4,0,4,1,2,1,1,0
 farm style country retreat set in  hectares of wooded countryside,in,4,0,4,1,2,1,1,0
